District,Cold Storage_Name,Capacity and UOM,Latitude,Longitude
Patna,USHA COLD STORAGE,7096.4 MT,25.57875,85.25551
Patna,MUNDARSHAH COLD STORAGE,3630.5 MT,25.606139,85.079976
Patna,RAJ LAXMI COLD STORAGE,568.9 MT,25.62553,85.05572
Patna,JANTA COLD STORAGE,2722.9 MT,25.63829,85.05276
Patna,MAHAVEER COLD STORAGE,1276.4 MT,25.64092,85.06119
Patna,SRI SHANKAR COLD STORAGE,7650 MT,25.645759,85.06957
Purbi Champaran,M/s Shivam cold storage,5660.0 MT,26.9517,84.84368
Gaya,Shaadeshi Cold Storage,700 MT,24.843143,85.007265
Kaimur,M/S Grihasth Cold Storage pvt.Ltd Kudra,5743.73 MT,25.102,83.711
Madhepura,KY Cold Storage,5763.3 MT,25.15506,86.992096
Madhepura,Sona Developers Cold Storage PVt. Ltd,6876.6 MT,25.676725,86.943689
Supaul,Shyam Shubhadra Cold Storage Pvt. Ltd,6647.5 MT,26.1053,86.8074
Supaul,Maa Sharada Bhawani Cold Storage and Warehouse Pvt. Ltd,7119.3 MT,26.28203,86.943476
Purbi Champaran,Shaym Ice and Cold Storage,4670.5 MT,26.6025° N,84.9496° E
Purbi Champaran,Jai Hanuman Cold Storage,3500.9 MT,26.5415° N,84.6022° E
Purbi Champaran,Singh and Rai Cold Storage,4390.7 MT,26.3982° N,85.0347° E
Purbi Champaran,Green Agro Farmers Pvt. Ltd,6136.7 MT,,
